ID,Priority,Group,Media Type,Published,Year,Title / Item,Publication / Platform,Exact Name Matched,How Featured,Work / Subject,Byline / Host,Language,Source Relationship,Verification,Confidence,Press-Kit Use,Direct Link,Secondary Link,Evidence / Notes,Last Checked
PE-001,A,Press & Editorial,Album feature / review,2026-06-12,2026,Forget ASMR. Zazie Productions Will Rewire Your Whole Nervous System,Limitless Magazine,Zazie Productions,Dedicated feature on the album and artist,Anesthesia for the Signal Age,AMMPRO,English,Independent editorial,Direct page verified,High,Recommended,https://limitless-magazine.com/2026/06/12/forget-asmr-zazie-productions-will-rewire-your-whole-nervous-system,,Headline and article repeatedly name Zazie Productions.,2026-08-09
PE-002,A,Press & Editorial,Composer profile / feature,2026-06-12,2026,How an Underground Experimental Musician Became a Go-To Composer for Psychological Horror,BillboardWire,Zazie Kanwar-Torge; Zazie Productions,Dedicated profile with direct quote and IMDb/demo-reel links,Psychological-horror scoring,Ethan Walker,English,Independent editorial,Direct page verified,High,Recommended,https://billboardwire.com/how-an-underground-experimental-musician-became-a-go-to-composer-for-psychological-horror/,,Opening identifies Zazie Kanwar-Torge and Zazie Productions exactly.,2026-08-09
PE-003,A,Press & Editorial,Artist profile / feature,2025-12-12,2025,Zazie Productions: The Underground Polymath Redefining Experimental Music,Grammy Weekly,Zazie Productions,Dedicated artist profile,Career overview,Angelina Joy,English,Independent editorial,Direct page verified,High,Recommended,https://grammyweekly.com/zazie-productions-the-underground-polymath-redefining-experimental-music/,,Exact name appears in headline and throughout article.,2026-08-09
PE-004,A,Press & Editorial,Music news / single feature,2025-02-18,2025,ZAZIE PRODUCTIONS Unleash Eclectic Single ‘Can’t Get My Eyes Off You (123)’,HEAVY Magazine,Zazie Productions,Dedicated single feature,Can’t Get My Eyes Off You (123),HEAVY,English,Independent editorial,Direct page verified,High,Recommended,https://heavymag.com.au/zazie-productions-unleash-eclectic-single-cant-get-my-eyes-off-you-123/,,"Exact name appears in headline, copy and tag.",2026-08-09
PE-005,A,Press & Editorial,Music review,2025-02-08,2025,Reseña: Zazie Productions y Unwashed Miscreant rompen esquemas con ‘Can’t Get My Eyes Off You (123)’,Indie AM,Zazie Productions,Dedicated Spanish-language review,Can’t Get My Eyes Off You (123),Alejandro Balcázar,Spanish,Independent editorial,Direct page verified,High,Recommended,https://indieam.com.mx/2025/02/08/resena-zazie-productions-y-unwashed-miscreant-rompen-esquemas-con-cant-get-my-eyes-off-you-123/,,Exact name appears in headline and article body.,2026-08-09
PE-006,A,Press & Editorial,Music feature,2025-03-17,2025,Zazie Productions y el experimento sonoro que desafía la lógica: ‘CAN’T GET MY EYES OFF YOU (123)’,Shock Web Radio,Zazie Productions,Dedicated Spanish-language feature,Can’t Get My Eyes Off You (123),Rita Andino,Spanish,Independent editorial,Direct page verified,High,Recommended,https://shockwebradio.com/musica/zazie-productions-y-el-experimento-sonoro-que-desafia-la-logica-cant-get-my-eyes-off-you-123/,,"Exact name appears in headline, copy, image metadata and tag.",2026-08-09
PE-007,B,Press & Editorial,Music roundup,2025-03-03,2025,"Radar: Shape, Samuel James e outros sons que chegaram pelo Groover",Pop Fantasma,Zazie Productions,Artist and track included in a multi-artist roundup,Stunning That You’d Care,,Portuguese,Independent editorial,Direct page verified,High,Recommended,https://popfantasma.com.br/radar-shape-samuel-james-e-outros-sons-que-chegaram-pelo-groover/,,"Section heading reads ‘ZAZIE PRODUCTIONS, STUNNING THAT YOU’D CARE.’",2026-08-09
PE-008,A,Press & Editorial,Film review,2025-03-24,2025,Spinning in the Wildness: Phantom Requiem,Lake Ivan Film Journal,Zazie Kanwar-Torge; Zazie Productions,Full-length critical review,Phantom Requiem,David Finkelstein,English,Independent editorial,Direct page verified,High,Recommended,https://lakeivan.substack.com/p/spinning-in-the-wildness-phantom,,Review names the short as by Zazie Productions and credits filmmaker Zazie Kanwar-Torge.,2026-08-09
PE-009,B,Press & Editorial,Music blog / compilation announcement,2023-11-11,2023,Dark Ambient: Shadowlands 4 Is Out Now!,Casey Douglass,Zazie Productions,Named in embedded compilation tracklist,Shadowlands 4 / Seroquel Coma,Casey Douglass,English,Independent editorial,Direct page verified,High,Recommended,https://www.casey-douglass.com/2023/11/dark-ambient-shadowlands-4-is-out-now.html,,Embedded tracklist shows ‘Zazie Productions - Seroquel Coma.’,2026-08-09
PE-010,A,Press & Editorial,Expert commentary,2025-10-13,2025,What Creators Really Want From Brands In 2025 (And What They’ll Expect In 2026),Viral Nation,Zazie Kanwar-Torge; Zazie Productions,Quoted creator and founder in industry report,Creator-brand partnerships,,English,Independent editorial,Direct page verified,High,Recommended,https://www.viralnation.com/resources/blog/what-creators-want-from-brands,,Exact full name and company name introduce a direct quote.,2026-08-09
